481	995	818
469	312	383
526	569	864
246	789	914
212	438	633
806	173	466
108	445	536
681	984	381
78	327	619
37	262	358
605	676	942
752	869	334
531	872	782
526	776	326
529	309	417
131	174	112
498	188	941
623	86	951
188	57	489
176	475	876
627	970	140
937	584	732
629	541	153
315	659	889
867	209	967
783	106	766
109	755	724
513	505	871
91	882	848
420	913	766
33	849	128
697	786	39
586	691	118
814	105	151
10	704	383
774	277	675
707	503	749
159	670	772
311	251	320
670	894	317
481	888	907
300	955	981
399	947	381
49	853	652
695	249	109
728	785	829
147	64	90
946	946	885
556	80	710
635	195	304
433	409	448
948	517	286
554	591	622
463	191	336
905	827	22
801	584	383
372	583	442
563	375	192
413	179	803
315	570	560
938	192	77
639	745	592
827	307	722
214	705	787
161	638	933
371	315	618
929	606	896
55	719	509
638	1	443
975	201	529
265	588	111
468	490	399
122	47	417
79	279	879
52	202	674
277	62	68
120	773	62
769	404	723
185	978	618
539	705	944
419	744	650
526	417	125
257	612	187
392	369	254
70	581	852
431	749	522
334	700	969
749	281	388
368	84	875
362	858	929
444	822	1000
674	226	436
605	952	118
717	877	174
963	950	752
910	820	147
391	832	206
188	279	891
318	329	389
986	370	502
